station;to station;azimuth;distance m
Peach Mount;Cave Hill;76.085969444444500;21102.410
Cave Hill;Minerva;60.795972222222200;31937.600
Cave Hill;Ash Ridge;119.900008333333000;15818.550
Ash Ridge;Minerva;31.015000000000000;27411.800
Ash Ridge;Tate;94.066758333333300;32822.680
Tate;Flaughter;20.635269444444400;24914.150
Tate;Stevens;86.822694444444400;32919.040
Oakland;Buena Vista;104.760819444444000;14273.640
Oakland;Fradd;197.944230555556000;27244.570
Buena Vista;Cave;125.392375000000000;28578.740
Buena Vista;Howland;148.509977777778000;30504.440
Howland;Round Top KY;83.527275000000000;19416.440
Howland;Scioto;160.019369444444000;15770.770
Cave;Round Top KY;121.322030555556000;13994.190
Cave;Howland;217.730088888889000;11988.060
Round Top KY;Twin Creek;148.976550000000000;11997.120
Round Top KY;Scioto;219.123277777778000;21969.630
Cherry Ridge;Minerva;98.141347222222200;38267.150
Cherry Ridge;Cave Hill;154.537663888889000;23223.120
Minerva;Flaughter;95.178891666666700;27609.430
Minerva;Tate;144.107533333333000;31831.460
Flaughter;Dry Ridge;79.039016666666700;30407.690
Flaughter;Stevens;131.675233333333000;32281.710
Stevens;Dry Ridge;11.724477777777800;27844.260
Stevens;Tanner;125.453852777778000;14781.630
Dry Ridge;Stow;118.017419444444000;41268.570
Dry Ridge;Tanner;169.860469444444000;36401.300
Tanner;Stow;61.239761111111100;34233.460
Tanner;Reizin;97.254369444444400;42609.070
Stow;Culbertson;82.722488888888900;17132.160
Stow;Reizin;150.492508333333000;25054.710
Reizin;Culbertson;10.895475000000000;24422.580
Reizin;Correct;73.806755555555600;12919.760
Culbertson;Mud Lick;96.142797222222200;16303.030
Culbertson;Correct;159.044950000000000;21817.720
Correct;Stout;54.945147222222200;31292.240
Correct;Green;117.003561111111000;21314.300
Glasgow;Reizin;294.860963888889000;14987.660
Glasgow;Correct;353.118852777778000;9997.560
Holton South Base;Holton North Base;175.896825000000000;5500.570
Holton South Base;Correct;282.878747222222000;7487.660
Holton North Base;Glasgow;246.881202777778000;7053.710
Holton North Base;Correct;312.923944444444000;10506.180
Mud Lick;Stout;92.151086111111100;17240.480
Mud Lick;Correct;204.169436111111000;20439.040
Green;Stout;13.336405555555600;28433.300
Green;Tripp;46.840411111111100;16739.450
Stout;Miller;88.541347222222200;39725.890
Stout;Tripp;160.737058333333000;17172.920
Tripp;Miller;63.126977777777800;38155.710
Tripp;Weed Patch;110.719458333333000;52955.870
Miller;Fountain;120.388552777778000;22011.750
Miller;Weed Patch;156.454158333333000;39176.810
Weed Patch;Fountain;7.556113888888890;25003.760
Weed Patch;Leonard;79.071030555555600;34169.730
Fountain;Beard;95.067441666666700;31075.660
Fountain;Leonard;121.149400000000000;35369.240
Rariden;Beard;159.864208333333000;24836.930
Rariden;Fountain;227.326738888889000;30482.800
Leonard;Beard;2.299972222222220;15565.630
Leonard;Calvary;79.855766666666700;18455.400
Beard;Osborn;61.807766666666700;26064.400
Beard;Calvary;125.037850000000000;21426.230
Calvary;Sisson;73.723130555555600;42561.750
Calvary;Wright;98.200741666666700;33238.720
Osborn;Sisson;109.651202777778000;37684.970
Osborn;Calvary;192.271761111111000;25206.380
Wright;Sisson;25.276122222222200;18471.950
Wright;Merom College;76.515208333333300;32903.230
Sisson;Summit;17.676169444444400;24247.150
Sisson;Merom College;110.477591666667000;25744.850
